国債金利情報 (令和6年7月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R6.7.1,0.175,0.36,0.39,0.492,0.615,0.662,0.762,0.862,0.962,1.083,1.549,1.873,2.058,2.163,2.351
R6.7.2,0.176,0.365,0.401,0.508,0.63,0.679,0.786,0.89,0.985,1.104,1.573,1.894,2.075,2.174,2.352
R6.7.3,0.166,0.35,0.391,0.493,0.613,0.664,0.778,0.886,0.984,1.1,1.579,1.908,2.088,2.185,2.364
R6.7.4,0.148,0.34,0.382,0.482,0.599,0.645,0.754,0.863,0.967,1.086,1.571,1.908,2.092,2.188,2.364
R6.7.5,0.148,0.346,0.382,0.483,0.598,0.635,0.745,0.85,0.958,1.072,1.566,1.902,2.098,2.2,2.379
R6.7.8,0.15,0.362,0.398,0.499,0.616,0.655,0.764,0.869,0.974,1.092,1.576,1.907,2.099,2.2,2.385
R6.7.9,0.14,0.353,0.391,0.484,0.61,0.64,0.748,0.856,0.96,1.079,1.573,1.911,2.103,2.205,2.398
R6.7.10,0.131,0.343,0.387,0.48,0.605,0.649,0.756,0.865,0.969,1.093,1.586,1.924,2.115,2.22,2.415
R6.7.11,0.131,0.343,0.392,0.485,0.611,0.654,0.756,0.864,0.969,1.089,1.585,1.912,2.112,2.221,2.419
R6.7.12,0.122,0.333,0.378,0.47,0.586,0.624,0.723,0.831,0.936,1.055,1.539,1.873,2.073,2.177,2.387
R6.7.16,0.111,0.32,0.363,0.456,0.566,0.606,0.705,0.809,0.914,1.032,1.524,1.86,2.061,2.168,2.375
R6.7.17,0.115,0.33,0.374,0.467,0.577,0.62,0.72,0.824,0.924,1.042,1.528,1.861,2.055,2.173,2.376
R6.7.18,0.121,0.347,0.389,0.482,0.591,0.632,0.729,0.833,0.929,1.047,1.528,1.852,2.041,2.16,2.361
,,,,,,,,,,,,,,,
※最新のcsvデータがダウンロードできない場合、ご利用のブラウザにおいてキャッシュの削除を実施し再度ダウンロードください。,,,,,,,,,,,,,,,
